"level0","level1","level2","Sources of personal income(1)(2)","count"
"No Source of Income During That Time(3)","Wellington Central","North Island general electorates","Female",1788
"Not Stated","Wellington Central","North Island general electorates","Female",1686
"Wages, Salary, Commissions, Bonuses etc","Whanganui","North Island general electorates","Female",14133
"Self–employment or Business","Whanganui","North Island general electorates","Female",3003
"Interest, Dividends, Rent, Other Invest.","Whanganui","North Island general electorates","Female",5061
"Payments from a Work Accident Insurer","Whanganui","North Island general electorates","Female",327
"NZ Superannuation or Veterans Pension","Whanganui","North Island general electorates","Female",6459
"Other Super., Pensions, Annuities","Whanganui","North Island general electorates","Female",720
"Unemployment Benefit","Whanganui","North Island general electorates","Female",918
"Sickness Benefit","Whanganui","North Island general electorates","Female",624
"Domestic Purposes Benefit","Whanganui","North Island general electorates","Female",1752
"Invalids Benefit","Whanganui","North Island general electorates","Female",1053
"Student Allowance","Whanganui","North Island general electorates","Female",483
"Other Govt Benefits, Payments or Pension","Whanganui","North Island general electorates","Female",1830
"Other Sources of Income","Whanganui","North Island general electorates","Female",666
"No Source of Income During That Time(3)","Whanganui","North Island general electorates","Female",1917
"Not Stated","Whanganui","North Island general electorates","Female",2190
"Wages, Salary, Commissions, Bonuses etc","Whangarei","North Island general electorates","Female",14127
"Self–employment or Business","Whangarei","North Island general electorates","Female",3339
"Interest, Dividends, Rent, Other Invest.","Whangarei","North Island general electorates","Female",5607
"Payments from a Work Accident Insurer","Whangarei","North Island general electorates","Female",300
"NZ Superannuation or Veterans Pension","Whangarei","North Island general electorates","Female",6504
"Other Super., Pensions, Annuities","Whangarei","North Island general electorates","Female",729
"Unemployment Benefit","Whangarei","North Island general electorates","Female",903
"Sickness Benefit","Whangarei","North Island general electorates","Female",804
"Domestic Purposes Benefit","Whangarei","North Island general electorates","Female",1986
"Invalids Benefit","Whangarei","North Island general electorates","Female",771
"Student Allowance","Whangarei","North Island general electorates","Female",471
"Other Govt Benefits, Payments or Pension","Whangarei","North Island general electorates","Female",1794
"Other Sources of Income","Whangarei","North Island general electorates","Female",522
"No Source of Income During That Time(3)","Whangarei","North Island general electorates","Female",1980
"Not Stated","Whangarei","North Island general electorates","Female",2412
"Wages, Salary, Commissions, Bonuses etc","Christchurch Central","South Island general electorates","Female",15912
"Self–employment or Business","Christchurch Central","South Island general electorates","Female",2142
"Interest, Dividends, Rent, Other Invest.","Christchurch Central","South Island general electorates","Female",4884
"Payments from a Work Accident Insurer","Christchurch Central","South Island general electorates","Female",240
"NZ Superannuation or Veterans Pension","Christchurch Central","South Island general electorates","Female",4557
"Other Super., Pensions, Annuities","Christchurch Central","South Island general electorates","Female",591
"Unemployment Benefit","Christchurch Central","South Island general electorates","Female",612
"Sickness Benefit","Christchurch Central","South Island general electorates","Female",780
"Domestic Purposes Benefit","Christchurch Central","South Island general electorates","Female",1254
"Invalids Benefit","Christchurch Central","South Island general electorates","Female",969
"Student Allowance","Christchurch Central","South Island general electorates","Female",918
"Other Govt Benefits, Payments or Pension","Christchurch Central","South Island general electorates","Female",1506
"Other Sources of Income","Christchurch Central","South Island general electorates","Female",684
"No Source of Income During That Time(3)","Christchurch Central","South Island general electorates","Female",1626
"Not Stated","Christchurch Central","South Island general electorates","Female",1920
"Wages, Salary, Commissions, Bonuses etc","Christchurch East","South Island general electorates","Female",14520
"Self–employment or Business","Christchurch East","South Island general electorates","Female",1905
"Interest, Dividends, Rent, Other Invest.","Christchurch East","South Island general electorates","Female",3957
"Payments from a Work Accident Insurer","Christchurch East","South Island general electorates","Female",264
"NZ Superannuation or Veterans Pension","Christchurch East","South Island general electorates","Female",4227
"Other Super., Pensions, Annuities","Christchurch East","South Island general electorates","Female",513
"Unemployment Benefit","Christchurch East","South Island general electorates","Female",558
"Sickness Benefit","Christchurch East","South Island general electorates","Female",756
"Domestic Purposes Benefit","Christchurch East","South Island general electorates","Female",1455
"Invalids Benefit","Christchurch East","South Island general electorates","Female",1041
"Student Allowance","Christchurch East","South Island general electorates","Female",561
"Other Govt Benefits, Payments or Pension","Christchurch East","South Island general electorates","Female",1824
"Other Sources of Income","Christchurch East","South Island general electorates","Female",549
"No Source of Income During That Time(3)","Christchurch East","South Island general electorates","Female",1746
"Not Stated","Christchurch East","South Island general electorates","Female",1887
"Wages, Salary, Commissions, Bonuses etc","Clutha-Southland","South Island general electorates","Female",14676
"Self–employment or Business","Clutha-Southland","South Island general electorates","Female",4710
"Interest, Dividends, Rent, Other Invest.","Clutha-Southland","South Island general electorates","Female",5700
"Payments from a Work Accident Insurer","Clutha-Southland","South Island general electorates","Female",309
"NZ Superannuation or Veterans Pension","Clutha-Southland","South Island general electorates","Female",4248
"Other Super., Pensions, Annuities","Clutha-Southland","South Island general electorates","Female",345
"Unemployment Benefit","Clutha-Southland","South Island general electorates","Female",447
"Sickness Benefit","Clutha-Southland","South Island general electorates","Female",291
"Domestic Purposes Benefit","Clutha-Southland","South Island general electorates","Female",618
"Invalids Benefit","Clutha-Southland","South Island general electorates","Female",333
"Student Allowance","Clutha-Southland","South Island general electorates","Female",288
"Other Govt Benefits, Payments or Pension","Clutha-Southland","South Island general electorates","Female",1371
"Other Sources of Income","Clutha-Southland","South Island general electorates","Female",459
"No Source of Income During That Time(3)","Clutha-Southland","South Island general electorates","Female",1401
"Not Stated","Clutha-Southland","South Island general electorates","Female",1740
"Wages, Salary, Commissions, Bonuses etc","Dunedin North","South Island general electorates","Female",17073
"Self–employment or Business","Dunedin North","South Island general electorates","Female",2172
"Interest, Dividends, Rent, Other Invest.","Dunedin North","South Island general electorates","Female",4890
"Payments from a Work Accident Insurer","Dunedin North","South Island general electorates","Female",276
"NZ Superannuation or Veterans Pension","Dunedin North","South Island general electorates","Female",3492
"Other Super., Pensions, Annuities","Dunedin North","South Island general electorates","Female",561
"Unemployment Benefit","Dunedin North","South Island general electorates","Female",924
"Sickness Benefit","Dunedin North","South Island general electorates","Female",501
"Domestic Purposes Benefit","Dunedin North","South Island general electorates","Female",678
"Invalids Benefit","Dunedin North","South Island general electorates","Female",534
"Student Allowance","Dunedin North","South Island general electorates","Female",3162
"Other Govt Benefits, Payments or Pension","Dunedin North","South Island general electorates","Female",1479
"Other Sources of Income","Dunedin North","South Island general electorates","Female",1434
"No Source of Income During That Time(3)","Dunedin North","South Island general electorates","Female",2106
"Not Stated","Dunedin North","South Island general electorates","Female",1764
"Wages, Salary, Commissions, Bonuses etc","Dunedin South","South Island general electorates","Female",14322
"Self–employment or Business","Dunedin South","South Island general electorates","Female",2169
"Interest, Dividends, Rent, Other Invest.","Dunedin South","South Island general electorates","Female",5181
"Payments from a Work Accident Insurer","Dunedin South","South Island general electorates","Female",315
"NZ Superannuation or Veterans Pension","Dunedin South","South Island general electorates","Female",5829
"Other Super., Pensions, Annuities","Dunedin South","South Island general electorates","Female",717
"Unemployment Benefit","Dunedin South","South Island general electorates","Female",504
"Sickness Benefit","Dunedin South","South Island general electorates","Female",579
"Domestic Purposes Benefit","Dunedin South","South Island general electorates","Female",978
"Invalids Benefit","Dunedin South","South Island general electorates","Female",786
"Student Allowance","Dunedin South","South Island general electorates","Female",546
"Other Govt Benefits, Payments or Pension","Dunedin South","South Island general electorates","Female",1713
"Other Sources of Income","Dunedin South","South Island general electorates","Female",693
"No Source of Income During That Time(3)","Dunedin South","South Island general electorates","Female",1524
"Not Stated","Dunedin South","South Island general electorates","Female",1326
"Wages, Salary, Commissions, Bonuses etc","Ilam","South Island general electorates","Female",14538
"Self–employment or Business","Ilam","South Island general electorates","Female",2628
"Interest, Dividends, Rent, Other Invest.","Ilam","South Island general electorates","Female",7284
"Payments from a Work Accident Insurer","Ilam","South Island general electorates","Female",213
"NZ Superannuation or Veterans Pension","Ilam","South Island general electorates","Female",5154
"Other Super., Pensions, Annuities","Ilam","South Island general electorates","Female",834
"Unemployment Benefit","Ilam","South Island general electorates","Female",402
"Sickness Benefit","Ilam","South Island general electorates","Female",321
"Domestic Purposes Benefit","Ilam","South Island general electorates","Female",609
"Invalids Benefit","Ilam","South Island general electorates","Female",462
"Student Allowance","Ilam","South Island general electorates","Female",1230
"Other Govt Benefits, Payments or Pension","Ilam","South Island general electorates","Female",1161
"Other Sources of Income","Ilam","South Island general electorates","Female",879
"No Source of Income During That Time(3)","Ilam","South Island general electorates","Female",2100
"Not Stated","Ilam","South Island general electorates","Female",1146
"Wages, Salary, Commissions, Bonuses etc","Invercargill","South Island general electorates","Female",14904
"Self–employment or Business","Invercargill","South Island general electorates","Female",2637
"Interest, Dividends, Rent, Other Invest.","Invercargill","South Island general electorates","Female",4866
"Payments from a Work Accident Insurer","Invercargill","South Island general electorates","Female",321
"NZ Superannuation or Veterans Pension","Invercargill","South Island general electorates","Female",4956
"Other Super., Pensions, Annuities","Invercargill","South Island general electorates","Female",393
"Unemployment Benefit","Invercargill","South Island general electorates","Female",906
"Sickness Benefit","Invercargill","South Island general electorates","Female",444
"Domestic Purposes Benefit","Invercargill","South Island general electorates","Female",1248
"Invalids Benefit","Invercargill","South Island general electorates","Female",645
"Student Allowance","Invercargill","South Island general electorates","Female",666
"Other Govt Benefits, Payments or Pension","Invercargill","South Island general electorates","Female",1614
"Other Sources of Income","Invercargill","South Island general electorates","Female",606
"No Source of Income During That Time(3)","Invercargill","South Island general electorates","Female",1563
"Not Stated","Invercargill","South Island general electorates","Female",1365
"Wages, Salary, Commissions, Bonuses etc","Kaikoura","South Island general electorates","Female",13692
"Self–employment or Business","Kaikoura","South Island general electorates","Female",4308
"Interest, Dividends, Rent, Other Invest.","Kaikoura","South Island general electorates","Female",5916
"Payments from a Work Accident Insurer","Kaikoura","South Island general electorates","Female",297
"NZ Superannuation or Veterans Pension","Kaikoura","South Island general electorates","Female",5616
"Other Super., Pensions, Annuities","Kaikoura","South Island general electorates","Female",675
"Unemployment Benefit","Kaikoura","South Island general electorates","Female",288
"Sickness Benefit","Kaikoura","South Island general electorates","Female",492
"Domestic Purposes Benefit","Kaikoura","South Island general electorates","Female",870
"Invalids Benefit","Kaikoura","South Island general electorates","Female",504
"Student Allowance","Kaikoura","South Island general electorates","Female",201
"Other Govt Benefits, Payments or Pension","Kaikoura","South Island general electorates","Female",1449
"Other Sources of Income","Kaikoura","South Island general electorates","Female",429
"No Source of Income During That Time(3)","Kaikoura","South Island general electorates","Female",1497
"Not Stated","Kaikoura","South Island general electorates","Female",1605
"Wages, Salary, Commissions, Bonuses etc","Nelson","South Island general electorates","Female",14178
"Self–employment or Business","Nelson","South Island general electorates","Female",3171
"Interest, Dividends, Rent, Other Invest.","Nelson","South Island general electorates","Female",6429
"Payments from a Work Accident Insurer","Nelson","South Island general electorates","Female",273
"NZ Superannuation or Veterans Pension","Nelson","South Island general electorates","Female",5697
"Other Super., Pensions, Annuities","Nelson","South Island general electorates","Female",912
"Unemployment Benefit","Nelson","South Island general electorates","Female",468
"Sickness Benefit","Nelson","South Island general electorates","Female",624
"Domestic Purposes Benefit","Nelson","South Island general electorates","Female",1275
"Invalids Benefit","Nelson","South Island general electorates","Female",678
"Student Allowance","Nelson","South Island general electorates","Female",465
"Other Govt Benefits, Payments or Pension","Nelson","South Island general electorates","Female",1797
"Other Sources of Income","Nelson","South Island general electorates","Female",567
"No Source of Income During That Time(3)","Nelson","South Island general electorates","Female",1602
"Not Stated","Nelson","South Island general electorates","Female",1197
"Wages, Salary, Commissions, Bonuses etc","Port Hills","South Island general electorates","Female",15285
"Self–employment or Business","Port Hills","South Island general electorates","Female",3108
"Interest, Dividends, Rent, Other Invest.","Port Hills","South Island general electorates","Female",6921
"Payments from a Work Accident Insurer","Port Hills","South Island general electorates","Female",228
"NZ Superannuation or Veterans Pension","Port Hills","South Island general electorates","Female",5289
"Other Super., Pensions, Annuities","Port Hills","South Island general electorates","Female",813
"Unemployment Benefit","Port Hills","South Island general electorates","Female",348
"Sickness Benefit","Port Hills","South Island general electorates","Female",459
"Domestic Purposes Benefit","Port Hills","South Island general electorates","Female",858
"Invalids Benefit","Port Hills","South Island general electorates","Female",648
"Student Allowance","Port Hills","South Island general electorates","Female",534
"Other Govt Benefits, Payments or Pension","Port Hills","South Island general electorates","Female",1542
"Other Sources of Income","Port Hills","South Island general electorates","Female",573
"No Source of Income During That Time(3)","Port Hills","South Island general electorates","Female",1653
"Not Stated","Port Hills","South Island general electorates","Female",1398
"Wages, Salary, Commissions, Bonuses etc","Rangitata","South Island general electorates","Female",14082
"Self–employment or Business","Rangitata","South Island general electorates","Female",2988
"Interest, Dividends, Rent, Other Invest.","Rangitata","South Island general electorates","Female",5919
"Payments from a Work Accident Insurer","Rangitata","South Island general electorates","Female",261
"NZ Superannuation or Veterans Pension","Rangitata","South Island general electorates","Female",6210
"Other Super., Pensions, Annuities","Rangitata","South Island general electorates","Female",615
"Unemployment Benefit","Rangitata","South Island general electorates","Female",453
"Sickness Benefit","Rangitata","South Island general electorates","Female",381
"Domestic Purposes Benefit","Rangitata","South Island general electorates","Female",999
"Invalids Benefit","Rangitata","South Island general electorates","Female",762
"Student Allowance","Rangitata","South Island general electorates","Female",288
"Other Govt Benefits, Payments or Pension","Rangitata","South Island general electorates","Female",1587
"Other Sources of Income","Rangitata","South Island general electorates","Female",546
"No Source of Income During That Time(3)","Rangitata","South Island general electorates","Female",1533
"Not Stated","Rangitata","South Island general electorates","Female",1323
"Wages, Salary, Commissions, Bonuses etc","Selwyn","South Island general electorates","Female",13632
"Self–employment or Business","Selwyn","South Island general electorates","Female",3972
"Interest, Dividends, Rent, Other Invest.","Selwyn","South Island general electorates","Female",5406
"Payments from a Work Accident Insurer","Selwyn","South Island general electorates","Female",249
"NZ Superannuation or Veterans Pension","Selwyn","South Island general electorates","Female",3141
"Other Super., Pensions, Annuities","Selwyn","South Island general electorates","Female",414
"Unemployment Benefit","Selwyn","South Island general electorates","Female",168
"Sickness Benefit","Selwyn","South Island general electorates","Female",225
"Domestic Purposes Benefit","Selwyn","South Island general electorates","Female",426
"Invalids Benefit","Selwyn","South Island general electorates","Female",246
"Student Allowance","Selwyn","South Island general electorates","Female",405
"Other Govt Benefits, Payments or Pension","Selwyn","South Island general electorates","Female",1185
"Other Sources of Income","Selwyn","South Island general electorates","Female",489
"No Source of Income During That Time(3)","Selwyn","South Island general electorates","Female",1725
"Not Stated","Selwyn","South Island general electorates","Female",1020
"Wages, Salary, Commissions, Bonuses etc","Waimakariri","South Island general electorates","Female",13344
"Self–employment or Business","Waimakariri","South Island general electorates","Female",2928
"Interest, Dividends, Rent, Other Invest.","Waimakariri","South Island general electorates","Female",5463
"Payments from a Work Accident Insurer","Waimakariri","South Island general electorates","Female",264
"NZ Superannuation or Veterans Pension","Waimakariri","South Island general electorates","Female",5010
"Other Super., Pensions, Annuities","Waimakariri","South Island general electorates","Female",603
"Unemployment Benefit","Waimakariri","South Island general electorates","Female",219
"Sickness Benefit","Waimakariri","South Island general electorates","Female",330
"Domestic Purposes Benefit","Waimakariri","South Island general electorates","Female",696
"Invalids Benefit","Waimakariri","South Island general electorates","Female",459
"Student Allowance","Waimakariri","South Island general electorates","Female",321
"Other Govt Benefits, Payments or Pension","Waimakariri","South Island general electorates","Female",1338
"Other Sources of Income","Waimakariri","South Island general electorates","Female",459
"No Source of Income During That Time(3)","Waimakariri","South Island general electorates","Female",1839
"Not Stated","Waimakariri","South Island general electorates","Female",957
"Wages, Salary, Commissions, Bonuses etc","Waitaki","South Island general electorates","Female",13809
"Self–employment or Business","Waitaki","South Island general electorates","Female",4623
"Interest, Dividends, Rent, Other Invest.","Waitaki","South Island general electorates","Female",6513
"Payments from a Work Accident Insurer","Waitaki","South Island general electorates","Female",291
"NZ Superannuation or Veterans Pension","Waitaki","South Island general electorates","Female",6258
"Other Super., Pensions, Annuities","Waitaki","South Island general electorates","Female",588
"Unemployment Benefit","Waitaki","South Island general electorates","Female",363
"Sickness Benefit","Waitaki","South Island general electorates","Female",351
"Domestic Purposes Benefit","Waitaki","South Island general electorates","Female",702
"Invalids Benefit","Waitaki","South Island general electorates","Female",483
"Student Allowance","Waitaki","South Island general electorates","Female",237
"Other Govt Benefits, Payments or Pension","Waitaki","South Island general electorates","Female",1452
"Other Sources of Income","Waitaki","South Island general electorates","Female",477
"No Source of Income During That Time(3)","Waitaki","South Island general electorates","Female",1410
"Not Stated","Waitaki","South Island general electorates","Female",1500
"Wages, Salary, Commissions, Bonuses etc","West Coast-Tasman","South Island general electorates","Female",13014
"Self–employment or Business","West Coast-Tasman","South Island general electorates","Female",4023
"Interest, Dividends, Rent, Other Invest.","West Coast-Tasman","South Island general electorates","Female",5070
"Payments from a Work Accident Insurer","West Coast-Tasman","South Island general electorates","Female",264
"NZ Superannuation or Veterans Pension","West Coast-Tasman","South Island general electorates","Female",4791
"Other Super., Pensions, Annuities","West Coast-Tasman","South Island general electorates","Female",612
"Unemployment Benefit","West Coast-Tasman","South Island general electorates","Female",426
"Sickness Benefit","West Coast-Tasman","South Island general electorates","Female",555
"Domestic Purposes Benefit","West Coast-Tasman","South Island general electorates","Female",969
"Invalids Benefit","West Coast-Tasman","South Island general electorates","Female",612
"Student Allowance","West Coast-Tasman","South Island general electorates","Female",276
"Other Govt Benefits, Payments or Pension","West Coast-Tasman","South Island general electorates","Female",1398
"Other Sources of Income","West Coast-Tasman","South Island general electorates","Female",465
"No Source of Income During That Time(3)","West Coast-Tasman","South Island general electorates","Female",1566
"Not Stated","West Coast-Tasman","South Island general electorates","Female",1701
"Wages, Salary, Commissions, Bonuses etc","Wigram","South Island general electorates","Female",14424
"Self–employment or Business","Wigram","South Island general electorates","Female",1410
"Interest, Dividends, Rent, Other Invest.","Wigram","South Island general electorates","Female",3840
"Payments from a Work Accident Insurer","Wigram","South Island general electorates","Female",255
"NZ Superannuation or Veterans Pension","Wigram","South Island general electorates","Female",4254
"Other Super., Pensions, Annuities","Wigram","South Island general electorates","Female",528
"Unemployment Benefit","Wigram","South Island general electorates","Female",525
"Sickness Benefit","Wigram","South Island general electorates","Female",537
"Domestic Purposes Benefit","Wigram","South Island general electorates","Female",984
"Invalids Benefit","Wigram","South Island general electorates","Female",795
"Student Allowance","Wigram","South Island general electorates","Female",1107
"Other Govt Benefits, Payments or Pension","Wigram","South Island general electorates","Female",1509
"Other Sources of Income","Wigram","South Island general electorates","Female",690
"No Source of Income During That Time(3)","Wigram","South Island general electorates","Female",1752
"Not Stated","Wigram","South Island general electorates","Female",1722
"Wages, Salary, Commissions, Bonuses etc","Area Outside General Electorate","South Island general electorates","Female",NA
"Self–employment or Business","Area Outside General Electorate","South Island general electorates","Female",NA
"Interest, Dividends, Rent, Other Invest.","Area Outside General Electorate","South Island general electorates","Female",NA
"Payments from a Work Accident Insurer","Area Outside General Electorate","South Island general electorates","Female",NA
"NZ Superannuation or Veterans Pension","Area Outside General Electorate","South Island general electorates","Female",NA
"Other Super., Pensions, Annuities","Area Outside General Electorate","South Island general electorates","Female",NA
"Unemployment Benefit","Area Outside General Electorate","South Island general electorates","Female",NA
"Sickness Benefit","Area Outside General Electorate","South Island general electorates","Female",NA
"Domestic Purposes Benefit","Area Outside General Electorate","South Island general electorates","Female",NA
"Invalids Benefit","Area Outside General Electorate","South Island general electorates","Female",NA
"Student Allowance","Area Outside General Electorate","South Island general electorates","Female",NA
"Other Govt Benefits, Payments or Pension","Area Outside General Electorate","South Island general electorates","Female",NA
"Other Sources of Income","Area Outside General Electorate","South Island general electorates","Female",NA
"No Source of Income During That Time(3)","Area Outside General Electorate","South Island general electorates","Female",NA
"Not Stated","Area Outside General Electorate","South Island general electorates","Female",NA
