"level0","level1","level2","Number of children born alive","count"
"85 Years And Over","Rimutaka","North Island general electorates","No Children",72
"15–19 Years","Rodney","North Island general electorates","No Children",1743
"20–24 Years","Rodney","North Island general electorates","No Children",978
"25–29 Years","Rodney","North Island general electorates","No Children",573
"30–34 Years","Rodney","North Island general electorates","No Children",363
"35–39 Years","Rodney","North Island general electorates","No Children",267
"40–44 Years","Rodney","North Island general electorates","No Children",297
"45–49 Years","Rodney","North Island general electorates","No Children",306
"50–54 Years","Rodney","North Island general electorates","No Children",294
"55–59 Years","Rodney","North Island general electorates","No Children",237
"60–64 Years","Rodney","North Island general electorates","No Children",213
"65–69 Years","Rodney","North Island general electorates","No Children",168
"70–74 Years","Rodney","North Island general electorates","No Children",126
"75–79 Years","Rodney","North Island general electorates","No Children",81
"80–84 Years","Rodney","North Island general electorates","No Children",81
"85 Years And Over","Rodney","North Island general electorates","No Children",90
"15–19 Years","Rongotai","North Island general electorates","No Children",1539
"20–24 Years","Rongotai","North Island general electorates","No Children",2289
"25–29 Years","Rongotai","North Island general electorates","No Children",1983
"30–34 Years","Rongotai","North Island general electorates","No Children",1443
"35–39 Years","Rongotai","North Island general electorates","No Children",882
"40–44 Years","Rongotai","North Island general electorates","No Children",672
"45–49 Years","Rongotai","North Island general electorates","No Children",651
"50–54 Years","Rongotai","North Island general electorates","No Children",489
"55–59 Years","Rongotai","North Island general electorates","No Children",360
"60–64 Years","Rongotai","North Island general electorates","No Children",234
"65–69 Years","Rongotai","North Island general electorates","No Children",168
"70–74 Years","Rongotai","North Island general electorates","No Children",105
"75–79 Years","Rongotai","North Island general electorates","No Children",81
"80–84 Years","Rongotai","North Island general electorates","No Children",69
"85 Years And Over","Rongotai","North Island general electorates","No Children",90
"15–19 Years","Rotorua","North Island general electorates","No Children",2166
"20–24 Years","Rotorua","North Island general electorates","No Children",1200
"25–29 Years","Rotorua","North Island general electorates","No Children",789
"30–34 Years","Rotorua","North Island general electorates","No Children",474
"35–39 Years","Rotorua","North Island general electorates","No Children",339
"40–44 Years","Rotorua","North Island general electorates","No Children",336
"45–49 Years","Rotorua","North Island general electorates","No Children",351
"50–54 Years","Rotorua","North Island general electorates","No Children",324
"55–59 Years","Rotorua","North Island general electorates","No Children",249
"60–64 Years","Rotorua","North Island general electorates","No Children",192
"65–69 Years","Rotorua","North Island general electorates","No Children",141
"70–74 Years","Rotorua","North Island general electorates","No Children",96
"75–79 Years","Rotorua","North Island general electorates","No Children",75
"80–84 Years","Rotorua","North Island general electorates","No Children",48
"85 Years And Over","Rotorua","North Island general electorates","No Children",63
"15–19 Years","Tamaki","North Island general electorates","No Children",1521
"20–24 Years","Tamaki","North Island general electorates","No Children",1473
"25–29 Years","Tamaki","North Island general electorates","No Children",1230
"30–34 Years","Tamaki","North Island general electorates","No Children",903
"35–39 Years","Tamaki","North Island general electorates","No Children",543
"40–44 Years","Tamaki","North Island general electorates","No Children",420
"45–49 Years","Tamaki","North Island general electorates","No Children",402
"50–54 Years","Tamaki","North Island general electorates","No Children",369
"55–59 Years","Tamaki","North Island general electorates","No Children",330
"60–64 Years","Tamaki","North Island general electorates","No Children",258
"65–69 Years","Tamaki","North Island general electorates","No Children",171
"70–74 Years","Tamaki","North Island general electorates","No Children",108
"75–79 Years","Tamaki","North Island general electorates","No Children",87
